Nro_Orden_Establecimiento;Periodo;SEDE;SUBSEDE;NOVEDAD;ESTADO
371773;2012;Barranquilla;Barranquilla;99;5
10200178;2012;Bogotá;Bogotá;99;5
10401670;2012;Cali;Cali;99;5
10207516;2012;Bogotá;Bogotá;99;5
10207570;2012;Bogotá;Bogotá;99;5
297826670;2012;Barranquilla;Barranquilla;99;5
297826831;2012;Barranquilla;Barranquilla;99;5
297826723;2012;Barranquilla;Barranquilla;99;5
441900;2012;Barranquilla;Cartagena;99;5
297826718;2012;Barranquilla;Barranquilla;99;5
297826953;2012;Barranquilla;Barranquilla;99;5
297826792;2012;Barranquilla;Barranquilla;99;5
297826898;2012;Barranquilla;Barranquilla;99;5
296886290;2012;Barranquilla;Cartagena;99;5
9816110;2012;Barranquilla;Barranquilla;99;5
9815988;2012;Barranquilla;Barranquilla;99;5
297826722;2012;Barranquilla;Barranquilla;99;5
297827969;2012;Barranquilla;Barranquilla;99;5
297819041;2012;Barranquilla;Barranquilla;99;5
452218;2012;Barranquilla;Barranquilla;99;5
441772;2012;Barranquilla;Barranquilla;99;5
441802;2012;Barranquilla;Barranquilla;99;5
441854;2012;Barranquilla;Barranquilla;99;5
297826799;2012;Bogotá;Bogotá;99;5
297718659;2012;Bogotá;Bogotá;99;5
297826796;2012;Bogotá;Bogotá;99;5
297827958;2012;Bogotá;Bogotá;99;5
297827000;2012;Bogotá;Bogotá;99;5
414681;2012;Bogotá;Bogotá;99;5
382101;2012;Cali;Popayán;99;5
297826978;2012;Bogotá;Bogotá;99;5
297826677;2012;Bogotá;Bogotá;99;5
297826828;2012;Bogotá;Bogotá;99;5
297826830;2012;Bogotá;Bogotá;99;5
452491;2012;Barranquilla;Cartagena;99;5
9807355;2012;Bogotá;Bogotá;99;5
297826832;2012;Bogotá;Bogotá;99;5
297826833;2012;Bogotá;Bogotá;99;5
297826834;2012;Bogotá;Bogotá;99;5
452129;2012;Bogotá;Bogotá;99;5
9807356;2012;Bogotá;Bogotá;99;5
9807357;2012;Bogotá;Bogotá;99;5
297826941;2012;Bogotá;Bogotá;99;5
297826946;2012;Bogotá;Bogotá;99;5
297826982;2012;Bogotá;Bogotá;99;5
296886228;2012;Barranquilla;Cartagena;99;5
297826663;2012;Bogotá;Bogotá;99;5
297826985;2012;Bogotá;Bogotá;99;5
297826986;2012;Bogotá;Bogotá;99;5
297838044;2012;Bogotá;Tunja;99;5
409910;2012;Manizales;Ibagué;99;5
450883;2012;Bogotá;Bogotá;99;5
297839484;2012;Bogotá;Bogotá;99;5
299303284;2012;Bogotá;Bogotá;99;5
337133;2012;Bogotá;Bogotá;99;5
75000;2012;Barranquilla;Santa Marta;99;5
75007;2012;Bogotá;Bogotá;99;5
410376;2012;Barranquilla;Santa Marta;99;5
296886229;2012;Barranquilla;Santa Marta;99;5
296914023;2012;Barranquilla;Santa Marta;99;5
297718272;2012;Bogotá;Bogotá;99;5
297826922;2012;Bogotá;Bogotá;99;5
451251;2012;Barranquilla;Cartagena;99;5
451446;2012;Barranquilla;Santa Marta;99;5
455513;2012;Bogotá;Bogotá;99;5
9807403;2012;Bogotá;Bogotá;99;5
297730683;2012;Cali;Cali;99;5
296886232;2012;Bogotá;Bogotá;99;5
296886233;2012;Bogotá;Bogotá;99;5
296886234;2012;Bogotá;Bogotá;99;5
296886235;2012;Bogotá;Bogotá;99;5
296886236;2012;Bogotá;Bogotá;99;5
3834328;2012;Bogotá;Bogotá;99;5
297826903;2012;Bogotá;Bogotá;99;5
451463;2012;Bogotá;Bogotá;99;5
451466;2012;Bogotá;Bogotá;99;5
297826734;2012;Bogotá;Bogotá;99;5
297826735;2012;Bogotá;Bogotá;99;5
452253;2012;Bogotá;Bogotá;99;5
296886239;2012;Manizales;Ibagué;99;5
452256;2012;Manizales;Ibagué;99;5
297826882;2012;Bogotá;Bogotá;99;5
297826889;2012;Bogotá;Bogotá;99;5
297826988;2012;Bogotá;Bogotá;99;5
457978;2012;Bogotá;Bogotá;99;5
457979;2012;Bogotá;Bogotá;99;5
297718280;2012;Bogotá;Bogotá;99;5
451402;2012;Bogotá;Bogotá;99;5
297826991;2012;Bogotá;Bogotá;99;5
9807346;2012;Bogotá;Bogotá;99;5
9807408;2012;Bogotá;Bogotá;99;5
297826672;2012;Bogotá;Bogotá;99;5
297826767;2012;Bogotá;Bogotá;99;5
297838058;2012;Bogotá;Bogotá;99;5
297827017;2012;Bogotá;Bogotá;99;5
297826945;2012;Bogotá;Bogotá;99;5
297838050;2012;Bogotá;Leticia;99;5
299303287;2012;Bogotá;Bogotá;99;5
9815066;2012;Bogotá;Bogotá;99;5
10209451;2012;Bogotá;Bogotá;99;5
297823688;2012;Bogotá;Bogotá;99;5
297821685;2012;Bogotá;Bogotá;99;5
450816;2012;Bogotá;Bogotá;99;5
74977;2012;Bogotá;Bogotá;99;5
407032;2012;Bogotá;Bogotá;99;5
297827928;2012;Bogotá;Bogotá;99;5
297824160;2012;Bogotá;Bogotá;99;5
297834339;2012;Bogotá;Bogotá;99;5
297822959;2012;Bogotá;Bogotá;99;5
297822527;2012;Bogotá;Bogotá;99;5
297826739;2012;Bogotá;Bogotá;99;5
297823552;2012;Bogotá;Bogotá;99;5
297822516;2012;Bogotá;Bogotá;99;5
449312;2012;Bogotá;Bogotá;99;5
297825166;2012;Bogotá;Bogotá;99;5
297820854;2012;Bogotá;Bogotá;99;5
297823234;2012;Bogotá;Bogotá;99;5
297826977;2012;Bogotá;Bogotá;99;5
9807394;2012;Bogotá;Bogotá;99;5
297826749;2012;Bogotá;Bogotá;99;5
297823613;2012;Bogotá;Bogotá;99;5
297827058;2012;Bogotá;Bogotá;99;5
297823853;2012;Bogotá;Bogotá;99;5
297824060;2012;Bogotá;Bogotá;99;5
297824123;2012;Bogotá;Bogotá;99;5
297823455;2012;Bogotá;Bogotá;99;5
297823642;2012;Bogotá;Bogotá;99;5
297818827;2012;Bogotá;Bogotá;99;5
297823431;2012;Bogotá;Bogotá;99;5
297839499;2012;Bogotá;Bogotá;99;5
297823062;2012;Bogotá;Bogotá;99;5
297827337;2012;Bogotá;Bogotá;99;5
413402;2012;Bogotá;Bogotá;99;5
297822677;2012;Bogotá;Bogotá;99;5
297826662;2012;Bogotá;Bogotá;99;5
297822990;2012;Bogotá;Bogotá;99;5
450886;2012;Bogotá;Bogotá;99;5
297823265;2012;Bogotá;Bogotá;99;5
297839769;2012;Bogotá;Bogotá;99;5
297823601;2012;Bogotá;Bogotá;99;5
297821402;2012;Bogotá;Bogotá;99;5
10207645;2012;Bogotá;Bogotá;99;5
297823258;2012;Bogotá;Bogotá;99;5
297819921;2012;Bogotá;Bogotá;99;5
408533;2012;Bogotá;Bogotá;99;5
450869;2012;Bogotá;Bogotá;99;5
297826835;2012;Bogotá;Bogotá;99;5
165923;2012;Bogotá;Bogotá;99;5
297826497;2012;Bogotá;Bogotá;99;5
297820374;2012;Bogotá;Bogotá;99;5
297819999;2012;Bogotá;Bogotá;99;5
297823669;2012;Bogotá;Bogotá;99;5
10207689;2012;Bogotá;Bogotá;99;5
297834076;2012;Bogotá;Bogotá;99;5
441267;2012;Bogotá;Bogotá;99;5
441565;2012;Bogotá;Bogotá;99;5
441566;2012;Bogotá;Bogotá;99;5
441567;2012;Bogotá;Bogotá;99;5
441568;2012;Bogotá;Bogotá;99;5
441569;2012;Bogotá;Bogotá;99;5
441570;2012;Bogotá;Bogotá;99;5
450863;2012;Bogotá;Bogotá;99;5
297823534;2012;Bogotá;Bogotá;99;5
299303246;2012;Bogotá;Bogotá;99;5
297824086;2012;Bogotá;Bogotá;99;5
447079;2012;Bogotá;Bogotá;99;5
297826870;2012;Bogotá;Bogotá;99;5
297826640;2012;Bogotá;Bogotá;99;5
297826980;2012;Bogotá;Bogotá;99;5
299304555;2012;Bogotá;Bogotá;99;5
297826975;2012;Bogotá;Bogotá;99;5
297839506;2012;Bogotá;Bogotá;99;5
9807441;2012;Bogotá;Bogotá;99;5
9807448;2012;Bogotá;Bogotá;99;5
441825;2012;Barranquilla;Santa Marta;99;5
9795548;2012;Bogotá;Villavicencio;99;5
297826990;2012;Bogotá;Bogotá;99;5
297826738;2012;Bogotá;Bogotá;99;5
297839497;2012;Bogotá;Bogotá;99;5
297826642;2012;Bogotá;Bogotá;99;5
297718322;2012;Bogotá;Bogotá;99;5
297826647;2012;Bogotá;Bogotá;99;5
103459;2012;Bogotá;Bogotá;99;5
299303285;2012;Bogotá;Bogotá;99;5
448987;2012;Bogotá;Bogotá;99;5
297730503;2012;Barranquilla;Santa Marta;99;5
297718312;2012;Bogotá;Bogotá;99;5
297718302;2012;Bogotá;Bogotá;99;5
297822448;2012;Bogotá;Bogotá;99;5
297839505;2012;Bogotá;Bogotá;99;5
297821308;2012;Bogotá;Bogotá;99;5
297718360;2012;Bogotá;Bogotá;99;5
297718363;2012;Bogotá;Bogotá;99;5
297718362;2012;Bogotá;Bogotá;99;5
297822336;2012;Bogotá;Bogotá;99;5
297717006;2012;Bogotá;Bogotá;99;5
297717021;2012;Bogotá;Bogotá;99;5
297717024;2012;Bogotá;Bogotá;99;5
10209311;2012;Bogotá;Bogotá;99;5
297839796;2012;Bogotá;Bogotá;99;5
297818794;2012;Bogotá;Bogotá;99;5
283047;2012;Bogotá;Bogotá;99;5
297820580;2012;Bogotá;Yopal;99;5
452232;2012;Bogotá;Bogotá;99;5
10209581;2012;Bogotá;Bogotá;99;5
297718330;2012;Bogotá;Bogotá;99;5
297821918;2012;Bogotá;Bogotá;99;5
297822767;2012;Bogotá;Bogotá;99;5
297822929;2012;Bogotá;Bogotá;99;5
299303275;2012;Bogotá;Bogotá;99;5
297823503;2012;Bogotá;Leticia;99;5
297827029;2012;Bogotá;Leticia;99;5
297821059;2012;Bogotá;Leticia;99;5
256628;2012;Bogotá;Leticia;99;5
297839502;2012;Bogotá;Leticia;99;5
297730495;2012;Bogotá;Leticia;99;5
297827899;2012;Bogotá;Leticia;99;5
297827887;2012;Bogotá;Leticia;99;5
441040;2012;Bogotá;Leticia;99;5
297823991;2012;Bogotá;Bogotá;99;5
444211;2012;Bogotá;Villavicencio;99;5
297822054;2012;Bogotá;Bogotá;99;5
297819453;2012;Bogotá;Bogotá;99;5
450867;2012;Bogotá;Bogotá;99;5
441850;2012;Barranquilla;San Andrés;99;5
297823164;2012;Bogotá;Bogotá;99;5
297718671;2012;Bogotá;Bogotá;99;5
297717025;2012;Bogotá;Bogotá;99;5
297821128;2012;Bogotá;Bogotá;99;5
297824845;2012;Bogotá;Leticia;99;5
297825821;2012;Bogotá;Leticia;99;5
297827619;2012;Bogotá;Leticia;99;5
297840102;2012;Bogotá;Leticia;99;5
297825685;2012;Bogotá;Leticia;99;5
297823003;2012;Bogotá;Leticia;99;5
297826634;2012;Bogotá;Leticia;99;5
297822047;2012;Bogotá;Leticia;99;5
446751;2012;Bogotá;Leticia;99;5
259709;2012;Bogotá;Leticia;99;5
297818963;2012;Bogotá;Leticia;99;5
297840103;2012;Bogotá;Leticia;99;5
394762;2012;Bogotá;Leticia;99;5
297833958;2012;Bogotá;Leticia;99;5
297823481;2012;Bogotá;Leticia;99;5
297821674;2012;Bogotá;Leticia;99;5
296886227;2012;Bogotá;Bogotá;99;5
297718270;2012;Bogotá;Bogotá;99;5
452147;2012;Bucaramanga;Bucaramanga;99;5
296886218;2012;Bucaramanga;Bucaramanga;99;5
297839501;2012;Bogotá;Bogotá;99;5
382102;2012;Bucaramanga;Bucaramanga;99;5
297826761;2012;Bucaramanga;Bucaramanga;99;5
296914019;2012;Bucaramanga;Bucaramanga;99;5
297826917;2012;Bucaramanga;Bucaramanga;99;5
297826729;2012;Bucaramanga;Bucaramanga;99;5
452270;2012;Bucaramanga;Bucaramanga;99;5
297826888;2012;Bucaramanga;Bucaramanga;99;5
297826958;2012;Bucaramanga;Bucaramanga;99;5
452268;2012;Bucaramanga;Bucaramanga;99;5
452269;2012;Bucaramanga;Bucaramanga;99;5
455214;2012;Bucaramanga;Bucaramanga;99;5
297826915;2012;Bucaramanga;Bucaramanga;99;5
297826605;2012;Bucaramanga;Bucaramanga;99;5
420510;2012;Bucaramanga;Bucaramanga;99;5
297823964;2012;Bucaramanga;Bucaramanga;99;5
297822876;2012;Bucaramanga;Bucaramanga;99;5
297824118;2012;Bucaramanga;Bucaramanga;99;5
297827338;2012;Bucaramanga;Bucaramanga;99;5
452141;2012;Bucaramanga;Bucaramanga;99;5
444253;2012;Bucaramanga;Bucaramanga;99;5
452143;2012;Bucaramanga;Bucaramanga;99;5
297820053;2012;Bucaramanga;Bucaramanga;99;5
297838190;2012;Cali;Cali;99;5
455239;2012;Cali;Cali;99;5
297826717;2012;Cali;Cali;99;5
297826765;2012;Cali;Cali;99;5
297826766;2012;Cali;Cali;99;5
297826771;2012;Cali;Cali;99;5
297821622;2012;Cali;Cali;99;5
452422;2012;Manizales;Manizales;99;5
452426;2012;Manizales;Ibagué;99;5
9807415;2012;Bogotá;Bogotá;99;5
296886245;2012;Medellín;Medellín;99;5
296886246;2012;Bogotá;Bogotá;99;5
296886247;2012;Bogotá;Bogotá;99;5
296886248;2012;Manizales;Manizales;99;5
296886249;2012;Manizales;Manizales;99;5
296886250;2012;Barranquilla;Santa Marta;99;5
297718282;2012;Barranquilla;Cartagena;99;5
297730369;2012;Bogotá;Bogotá;99;5
297730371;2012;Bogotá;Bogotá;99;5
297730372;2012;Bogotá;Bogotá;99;5
297730373;2012;Barranquilla;Barranquilla;99;5
297730375;2012;Medellín;Medellín;99;5
297730377;2012;Bogotá;Tunja;99;5
297730504;2012;Medellín;Medellín;99;5
297730506;2012;Manizales;Ibagué;99;5
297730507;2012;Bogotá;Bogotá;99;5
297838052;2012;Cali;Cali;99;5
296914052;2012;Cali;Cali;99;5
297826920;2012;Cali;Cali;99;5
446013;2012;Cali;Cali;99;5
452409;2012;Cali;Cali;99;5
297826959;2012;Cali;Cali;99;5
306981;2012;Cali;Cali;99;5
297730524;2012;Cali;Pasto;99;5
297826949;2012;Cali;Cali;99;5
297826764;2012;Cali;Cali;99;5
297826736;2012;Cali;Cali;99;5
297826872;2012;Cali;Cali;99;5
297826769;2012;Cali;Cali;99;5
297826768;2012;Cali;Cali;99;5
297827862;2012;Cali;Cali;99;5
444764;2012;Cali;Cali;99;5
455224;2012;Cali;Cali;99;5
297820355;2012;Cali;Cali;99;5
299304554;2012;Cali;Cali;99;5
297822435;2012;Cali;Cali;99;5
299303283;2012;Manizales;Manizales;99;5
375000;2012;Manizales;Manizales;99;5
455637;2012;Manizales;Manizales;99;5
7070958;2012;Manizales;Manizales;99;5
297826773;2012;Manizales;Manizales;99;5
444122;2012;Manizales;Manizales;99;5
452099;2012;Manizales;Armenia;99;5
9800577;2012;Manizales;Manizales;99;5
452101;2012;Medellín;Medellín;99;5
297826671;2012;Medellín;Medellín;99;5
297718664;2012;Medellín;Medellín;99;5
297826675;2012;Medellín;Medellín;99;5
297826976;2012;Medellín;Medellín;99;5
297718666;2012;Medellín;Medellín;99;5
452177;2012;Medellín;Medellín;99;5
297826851;2012;Medellín;Medellín;99;5
297718265;2012;Medellín;Medellín;99;5
296886274;2012;Medellín;Medellín;99;5
296886224;2012;Medellín;Medellín;99;5
299303330;2012;Medellín;Medellín;99;5
297826800;2012;Medellín;Medellín;99;5
297718269;2012;Medellín;Medellín;99;5
299303276;2012;Medellín;Medellín;99;5
446746;2012;Medellín;Medellín;99;5
296886259;2012;Medellín;Medellín;99;5
296886263;2012;Medellín;Medellín;99;5
296886264;2012;Medellín;Medellín;99;5
375263;2012;Medellín;Medellín;99;5
297730508;2012;Medellín;Medellín;99;5
375941;2012;Medellín;Medellín;99;5
457974;2012;Medellín;Medellín;99;5
9787477;2012;Medellín;Medellín;99;5
297826674;2012;Medellín;Medellín;99;5
297730522;2012;Medellín;Medellín;99;5
377233;2012;Manizales;Armenia;99;5
378275;2012;Medellín;Quibdó;99;5
296886268;2012;Medellín;Medellín;99;5
451504;2012;Medellín;Medellín;99;5
297826643;2012;Medellín;Medellín;99;5
452356;2012;Medellín;Medellín;99;5
297718296;2012;Medellín;Medellín;99;5
297826775;2012;Medellín;Medellín;99;5
297839795;2012;Medellín;Medellín;99;5
451499;2012;Medellín;Medellín;99;5
452297;2012;Medellín;Medellín;99;5
452330;2012;Medellín;Medellín;99;5
297718304;2012;Medellín;Medellín;99;5
297823386;2012;Medellín;Medellín;99;5
297823000;2012;Medellín;Medellín;99;5
297823579;2012;Medellín;Medellín;99;5
297823739;2012;Medellín;Medellín;99;5
452170;2012;Medellín;Medellín;99;5
452474;2012;Medellín;Medellín;99;5
297823606;2012;Medellín;Medellín;99;5
297823404;2012;Medellín;Medellín;99;5
297718335;2012;Medellín;Medellín;99;5
411323;2012;Medellín;Medellín;99;5
443827;2012;Medellín;Medellín;99;5
2506951;2012;Medellín;Medellín;99;5
445470;2012;Medellín;Medellín;99;5
297823428;2012;Medellín;Medellín;99;5
297823893;2012;Medellín;Medellín;99;5
444270;2012;Medellín;Medellín;99;5
297839768;2012;Medellín;Medellín;99;5
10400085;2012;Medellín;Medellín;99;5
451490;2012;Manizales;Pereira;99;5
297839503;2012;Manizales;Pereira;99;5
452201;2012;Manizales;Pereira;99;5
297826921;2012;Manizales;Pereira;99;5
297730463;2012;Manizales;Pereira;99;5
297826808;2012;Manizales;Pereira;99;5
444234;2012;Manizales;Pereira;99;5
297822881;2012;Manizales;Pereira;99;5
442868;2012;Cali;Pasto;99;5
452303;2012;Manizales;Pereira;99;5
455706;2012;Manizales;Armenia;99;5
297826721;2012;Manizales;Armenia;99;5
297826720;2012;Manizales;Armenia;99;5
297826981;2012;Manizales;Armenia;99;5
455775;2012;Manizales;Armenia;99;5
298581;2012;Manizales;Armenia;99;5
297826797;2012;Barranquilla;Cartagena;99;5
297827001;2012;Barranquilla;Cartagena;99;5
9815993;2012;Barranquilla;Santa Marta;99;5
9815995;2012;Barranquilla;San Andrés;99;5
296914001;2012;Barranquilla;Cartagena;99;5
296914050;2012;Barranquilla;San Andrés;99;5
297826809;2012;Barranquilla;Cartagena;99;5
297826810;2012;Barranquilla;Cartagena;99;5
299303286;2012;Barranquilla;Cartagena;99;5
297826876;2012;Barranquilla;Cartagena;99;5
297826879;2012;Barranquilla;Cartagena;99;5
296886257;2012;Barranquilla;Cartagena;99;5
297827968;2012;Barranquilla;Cartagena;99;5
296886212;2012;Barranquilla;Cartagena;99;5
297826719;2012;Barranquilla;Cartagena;99;5
297718273;2012;Barranquilla;Cartagena;99;5
297826971;2012;Barranquilla;Cartagena;99;5
297826877;2012;Barranquilla;Cartagena;99;5
441879;2012;Barranquilla;Cartagena;99;5
312167;2012;Barranquilla;Cartagena;99;5
9816010;2012;Barranquilla;Cartagena;99;5
374311;2012;Barranquilla;Cartagena;99;5
297718327;2012;Barranquilla;Cartagena;99;5
297820391;2012;Barranquilla;Cartagena;99;5
297818576;2012;Barranquilla;Cartagena;99;5
299303292;2012;Barranquilla;Cartagena;99;5
299303278;2012;Barranquilla;Cartagena;99;5
452424;2012;Barranquilla;Cartagena;99;5
441848;2012;Barranquilla;Cartagena;99;5
394535;2012;Barranquilla;Cartagena;99;5
409328;2012;Barranquilla;Cartagena;99;5
441881;2012;Barranquilla;Cartagena;99;5
297822760;2012;Barranquilla;Cartagena;99;5
9798639;2012;Barranquilla;Cartagena;99;5
406282;2012;Barranquilla;Cartagena;99;5
441855;2012;Barranquilla;Cartagena;99;5
297826740;2012;Bucaramanga;Cúcuta;99;5
297826883;2012;Bucaramanga;Cúcuta;99;5
297826884;2012;Bucaramanga;Cúcuta;99;5
297826885;2012;Bucaramanga;Cúcuta;99;5
297826901;2012;Bucaramanga;Cúcuta;99;5
297826747;2012;Bucaramanga;Cúcuta;99;5
452108;2012;Manizales;Ibagué;99;5
297826829;2012;Manizales;Ibagué;99;5
297818881;2012;Manizales;Ibagué;99;5
296914042;2012;Bogotá;Bogotá;99;5
297826886;2012;Manizales;Ibagué;99;5
452553;2012;Manizales;Ibagué;99;5
297826772;2012;Manizales;Ibagué;99;5
297826673;2012;Manizales;Ibagué;99;5
297718320;2012;Bogotá;Bogotá;99;5
299303282;2012;Manizales;Ibagué;99;5
297826947;2012;Manizales;Ibagué;99;5
449238;2012;Bogotá;Villavicencio;99;5
2959356;2012;Manizales;Ibagué;99;5
296914033;2012;Manizales;Ibagué;99;5
297839488;2012;Manizales;Ibagué;99;5
297822615;2012;Manizales;Ibagué;99;5
297826644;2012;Medellín;Monteria;99;5
297826972;2012;Bogotá;Neiva;99;5
377622;2012;Bogotá;Neiva;99;5
297826505;2012;Bogotá;Neiva;99;5
297826918;2012;Bogotá;Neiva;99;5
297826954;2012;Bogotá;Neiva;99;5
458176;2012;Bogotá;Neiva;99;5
444031;2012;Bogotá;Neiva;99;5
377732;2012;Cali;Pasto;99;5
297839490;2012;Cali;Pasto;99;5
299303258;2012;Cali;Pasto;99;5
297826853;2012;Cali;Pasto;99;5
296886267;2012;Cali;Pasto;99;5
297838027;2012;Cali;Pasto;99;5
297820038;2012;Cali;Pasto;99;5
297823391;2012;Cali;Pasto;99;5
297823966;2012;Cali;Pasto;99;5
443904;2012;Cali;Pasto;99;5
452007;2012;Cali;Pasto;99;5
297822291;2012;Cali;Pasto;99;5
299303277;2012;Cali;Pasto;99;5
190072;2012;Cali;Pasto;99;5
299304532;2012;Cali;Pasto;99;5
297819287;2012;Cali;Pasto;99;5
297820340;2012;Cali;Pasto;99;5
297820632;2012;Cali;Pasto;99;5
299303280;2012;Cali;Pasto;99;5
297826952;2012;Cali;Popayán;99;5
296886217;2012;Barranquilla;Santa Marta;99;5
297826801;2012;Barranquilla;Santa Marta;99;5
297826802;2012;Barranquilla;Santa Marta;99;5
297826803;2012;Barranquilla;Santa Marta;99;5
297838055;2012;Barranquilla;Santa Marta;99;5
9816056;2012;Barranquilla;Santa Marta;99;5
9816058;2012;Barranquilla;Santa Marta;99;5
297826804;2012;Barranquilla;Santa Marta;99;5
441237;2012;Barranquilla;Santa Marta;99;5
441867;2012;Barranquilla;Santa Marta;99;5
297826653;2012;Barranquilla;Santa Marta;99;5
412206;2012;Barranquilla;Santa Marta;99;5
297839770;2012;Barranquilla;Santa Marta;99;5
297823689;2012;Barranquilla;Santa Marta;99;5
378399;2012;Bogotá;Tunja;99;5
296886273;2012;Bogotá;Tunja;99;5
452209;2012;Bogotá;Tunja;99;5
297839496;2012;Bogotá;Tunja;99;5
297827967;2012;Bogotá;Tunja;99;5
297827223;2012;Bogotá;Tunja;99;5
452242;2012;Bogotá;Tunja;99;5
297826805;2012;Bogotá;Villavicencio;99;5
297718278;2012;Bogotá;Villavicencio;99;5
297826874;2012;Bogotá;Villavicencio;99;5
297826880;2012;Bogotá;Villavicencio;99;5
297823318;2012;Bogotá;Villavicencio;99;5
419955;2012;Bogotá;Villavicencio;99;5
297717022;2012;Bogotá;Villavicencio;99;5
359228;2012;Bogotá;Bogotá;99;5
297827893;2012;Bogotá;Villavicencio;99;5
451486;2012;Bogotá;Villavicencio;99;5
416445;2012;Bogotá;Villavicencio;99;5
297822935;2012;Bogotá;Villavicencio;99;5
452022;2012;Bogotá;Villavicencio;99;5
297827069;2012;Bogotá;Villavicencio;99;5
445035;2012;Bogotá;Villavicencio;99;5
297824171;2012;Bogotá;Villavicencio;99;5
297819819;2012;Bogotá;Villavicencio;99;5
119269;2012;Bogotá;Yopal;99;5
297822942;2012;Bogotá;Yopal;99;5
451546;2012;Bogotá;Yopal;99;5
451479;2012;Bogotá;Yopal;99;5
297821431;2012;Bogotá;Yopal;99;5
451823;2012;Bogotá;Yopal;99;5
297818782;2012;Bogotá;Yopal;99;5
297821835;2012;Bogotá;Yopal;99;5
297822565;2012;Bogotá;Yopal;99;5
297826938;2012;Bogotá;Yopal;99;5
297819575;2012;Bogotá;Yopal;99;5
297820273;2012;Bogotá;Yopal;99;5
297825550;2012;Bogotá;Yopal;99;5
299303279;2012;Bogotá;Yopal;99;5
297837540;2012;Bogotá;Yopal;99;5
297823050;2012;Bogotá;Yopal;99;5
297823808;2012;Bogotá;Yopal;99;5
297822607;2012;Bogotá;Yopal;99;5
445605;2012;Bogotá;Yopal;99;5
297834039;2012;Bogotá;Villavicencio;99;5
451473;2012;Bogotá;Villavicencio;99;5
297822619;2012;Bogotá;Villavicencio;99;5
111989;2012;Bogotá;Villavicencio;99;5
442454;2012;Bogotá;Villavicencio;99;5
446361;2012;Bogotá;Villavicencio;99;5
445797;2012;Bogotá;Villavicencio;99;5
442347;2012;Bogotá;Villavicencio;99;5
297821837;2012;Bogotá;Villavicencio;99;5
451828;2012;Bogotá;Villavicencio;99;5
297820211;2012;Bogotá;Villavicencio;99;5
297824064;2012;Bogotá;Tunja;99;5
297824422;2012;Bogotá;Villavicencio;99;5
172844;2012;Bogotá;Villavicencio;99;5
297820051;2012;Bogotá;Villavicencio;99;5
446231;2012;Bogotá;Villavicencio;99;5
445004;2012;Bogotá;Villavicencio;99;5
297821149;2012;Bogotá;Villavicencio;99;5
297824008;2012;Bogotá;Villavicencio;99;5
444134;2012;Bogotá;Villavicencio;99;5
297827233;2012;Bogotá;Villavicencio;99;5
299303288;2012;Barranquilla;Riohacha;99;5
444209;2012;Barranquilla;Riohacha;99;5
9815982;2012;Barranquilla;San Andrés;99;5
296913989;2012;Barranquilla;San Andrés;99;5
296913990;2012;Barranquilla;San Andrés;99;5
297718663;2012;Barranquilla;San Andrés;99;5
297730498;2012;Barranquilla;San Andrés;99;5
297826665;2012;Barranquilla;San Andrés;99;5
74973;2012;Barranquilla;San Andrés;99;5
457976;2012;Medellín;Monteria;99;5
296914091;2012;Barranquilla;San Andrés;99;5
297730513;2012;Barranquilla;San Andrés;99;5
297730514;2012;Barranquilla;San Andrés;99;5
297730681;2012;Barranquilla;San Andrés;99;5
452535;2012;Barranquilla;San Andrés;99;5
297826875;2012;Barranquilla;San Andrés;99;5
455784;2012;Barranquilla;San Andrés;99;5
296914053;2012;Barranquilla;San Andrés;99;5
297826666;2012;Barranquilla;San Andrés;99;5
297826646;2012;Barranquilla;San Andrés;99;5
297826948;2012;Barranquilla;San Andrés;99;5
297826737;2012;Barranquilla;San Andrés;99;5
299303281;2012;Barranquilla;San Andrés;99;5
452123;2012;Barranquilla;San Andrés;99;5
452124;2012;Barranquilla;San Andrés;99;5
452125;2012;Bogotá;Leticia;99;5
296913996;2012;Barranquilla;San Andrés;99;5
299303289;2012;Barranquilla;San Andrés;99;5
441678;2012;Barranquilla;San Andrés;99;5
297819308;2012;Barranquilla;San Andrés;99;5
9816028;2012;Barranquilla;San Andrés;99;5
9809870;2012;Barranquilla;San Andrés;99;5
441826;2012;Barranquilla;San Andrés;99;5
297818939;2012;Barranquilla;San Andrés;99;5
297819945;2012;Barranquilla;San Andrés;99;5
74974;2012;Barranquilla;San Andrés;99;5
110501;2012;Barranquilla;San Andrés;99;5
297822317;2012;Barranquilla;San Andrés;99;5
444120;2012;Barranquilla;San Andrés;99;5
287782;2012;Barranquilla;San Andrés;99;5
297821876;2012;Barranquilla;San Andrés;99;5
448118;2012;Barranquilla;San Andrés;99;5
441851;2012;Barranquilla;San Andrés;99;5
297818425;2012;Barranquilla;Sincelejo;99;5
444146;2012;Barranquilla;Sincelejo;99;5
297838035;2012;Barranquilla;Valledupar;99;5
297718293;2012;Barranquilla;Valledupar;99;5
297718291;2012;Barranquilla;Valledupar;99;5
297718319;2012;Barranquilla;Valledupar;99;5
451467;2012;Bogotá;Bogotá;99;5
297839487;2012;Barranquilla;Cartagena;99;5
